credito_id_anon,max_dias_retraso,target
11a36ed7eb96,299.0,0.0
11b0d651a710,375.0,0.0
11bdb4c6102f,182.0,0.0
11c907720ed3,57.0,
11cbd431ea22,0.0,1.0
11ce6435b8d5,0.0,1.0
11d0b094292e,375.0,0.0
11da692bdede,0.0,1.0
11dc60344c53,7.0,1.0
11dccdbe021b,329.0,0.0
11dd4ab8fa45,0.0,1.0
11e252aa204b,84.0,0.0
11e57e7527d1,268.0,0.0
11eb0c8ded68,4.0,1.0
11ec260c7b54,3.0,1.0
11efe8ff2187,0.0,1.0
11f7b5c1e036,207.0,0.0
11f7ef112884,99.0,0.0
11fa94c08280,0.0,1.0
11fd5b44f47f,3.0,1.0
12017bdd7f1a,2.0,1.0
120ab9076b3d,36.0,
120b87eb95d9,6.0,1.0
12106bf683af,0.0,1.0
12161e19e6ad,39.0,
1216751bca43,11.0,1.0
12203feebdc9,1.0,1.0
1220c4690c57,14.0,1.0
1234210afdcc,27.0,1.0
12375e64a80e,699.0,0.0
1248b5d7cd17,9.0,1.0
124cc78cd2a8,70.0,0.0
12500939ed3d,480.0,0.0
12524480b05c,572.0,0.0
125ae14ca210,587.0,0.0
12603c5aa733,3.0,1.0
1262bfdbcbda,191.0,0.0
126b367c2d29,99.0,0.0
126f9e7ec03d,4.0,1.0
127098ad9796,0.0,1.0
1274d8da97e1,6.0,1.0
128a5762a186,39.0,
12903a1cba8c,55.0,
12978347286d,222.0,0.0
12a747671c3d,0.0,1.0
12a9d2b49628,70.0,0.0
12b1dca79d46,323.0,0.0
12b36d2b7955,0.0,1.0
12b48c75f6bc,0.0,1.0
12b926863a79,115.0,0.0
12c5165c14ff,84.0,0.0
12c6dcacda2d,376.0,0.0
12c9b473c91c,0.0,1.0
12c9ec683823,0.0,1.0
12cabc925bb6,436.0,0.0
12cb64cb9f84,0.0,1.0
12ccfbc32150,299.0,0.0
12d71861a276,0.0,1.0
12db3edc0303,2.0,1.0
12dbdc4604f0,7.0,1.0
12e4af52130b,4.0,1.0
12e941d6d0d6,1.0,1.0
12e9c5148c17,0.0,1.0
12ea2009aa8c,449.0,0.0
12ec962235dc,511.0,0.0
12ed7b573f10,421.0,0.0
12ee99d4f11a,2.0,1.0
12ef063d2570,0.0,1.0
12efb49fc5c5,39.0,
12f12c22fdcb,20.0,1.0
12fb9af61dc4,79.0,0.0
12fcf53e2c9c,16.0,1.0
130ffca6192e,330.0,0.0
132d1530b6e8,4.0,1.0
132e01468979,344.0,0.0
132f21478bba,130.0,0.0
133fbfc1ca52,0.0,1.0
134a1e1c7fe8,592.0,0.0
134a26b75929,0.0,1.0
135141932aee,511.0,0.0
13555e0a8706,0.0,1.0
1355be9c25ad,39.0,
13592e79f7e8,4.0,1.0
1367baaebb34,0.0,1.0
136afc25a155,9.0,1.0
136e07e26c3c,237.0,0.0
1379c48e02a5,421.0,0.0
137e7a79faca,283.0,0.0
1381e40af251,0.0,1.0
1385a8a8e6f1,0.0,1.0
13894f60810e,0.0,1.0
138b0e2f46b2,3.0,1.0
139022d03e33,0.0,1.0
139a9b9be974,25.0,1.0
139b4b89c300,0.0,1.0
139fc359a7c9,7.0,1.0
13b463628f81,0.0,1.0
13c1261c51e9,37.0,
13c1ad4caf9b,0.0,1.0
13c867a2a88d,0.0,1.0
13cbee2113c2,421.0,0.0
13d10ef48b13,556.0,0.0
13d611d5adf2,1.0,1.0
